employee_id,pay_date,def_amount,roth_amount,loan_amount
EMP01001,2025-02-28,239.19,259.95,0.0
EMP01002,2025-01-24,104.55,322.33,0.0
EMP01002,2025-02-14,512.49,323.77,0.0
EMP01002,2025-02-21,588.7,136.1,0.0
EMP01003,2025-01-24,770.05,134.64,0.0
EMP01004,2025-02-14,167.7,339.0,0.0
EMP01005,2025-01-03,745.61,31.52,0.0
EMP01005,2025-01-31,421.6,49.93,0.0
EMP01005,2025-02-07,305.22,251.46,0.0
EMP01006,2025-01-10,302.57,31.92,0.0
EMP01006,2025-01-24,132.08,91.16,0.0
EMP01007,2025-01-10,366.09,181.36,0.0
EMP01008,2025-01-17,348.69,268.07,0.0
EMP01008,2025-02-07,591.27,273.42,0.0
EMP01009,2025-01-17,473.9,97.92,0.0
EMP01010,2025-01-31,489.86,273.85,0.0
EMP01010,2025-02-14,792.67,256.0,0.0
EMP01011,2025-01-24,675.26,322.02,0.0
EMP01012,2025-01-10,713.46,125.87,0.0
EMP01012,2025-01-31,247.69,377.16,0.0
EMP01013,2025-02-07,283.92,233.83,0.0
EMP01013,2025-02-14,272.64,224.55,0.0
EMP01013,2025-02-21,421.2,105.95,0.0
EMP01014,2025-01-10,702.77,61.14,0.0
EMP01014,2025-02-07,445.46,302.31,0.0
EMP01014,2025-02-14,798.13,55.33,0.0
EMP01015,2025-02-14,517.49,153.91,0.0
EMP01016,2025-01-31,577.2,214.79,53.37
EMP01016,2025-02-21,702.55,4.59,144.14
EMP01016,2025-02-28,548.67,44.62,86.95
EMP01017,2025-01-03,780.32,304.78,101.54
EMP01017,2025-01-31,174.49,250.12,168.33
EMP01018,2025-01-17,645.04,212.14,0.0
EMP01018,2025-01-24,633.76,215.75,0.0
EMP01018,2025-02-21,100.4,129.66,0.0
EMP01019,2025-01-10,750.37,351.49,0.0
EMP01020,2025-01-03,155.13,292.76,0.0
EMP01020,2025-01-24,268.61,226.94,0.0
EMP01021,2025-02-28,636.08,51.36,0.0
EMP01022,2025-01-17,396.2,84.72,0.0
EMP01022,2025-02-28,285.54,348.97,0.0
EMP01023,2025-01-24,796.6,259.95,0.0
EMP01023,2025-01-31,406.67,207.03,0.0
EMP01023,2025-02-28,184.7,89.88,0.0
EMP01024,2025-01-03,511.91,2.88,0.0
EMP01024,2025-01-24,595.49,23.55,0.0
EMP01025,2025-01-03,701.74,28.34,0.0
EMP01026,2025-01-31,568.28,85.69,0.0
EMP01027,2025-02-21,270.1,189.19,0.0
EMP01028,2025-01-10,396.51,186.81,0.0
EMP01028,2025-01-24,167.85,172.42,0.0
EMP01029,2025-01-03,381.83,135.72,0.0
EMP01029,2025-01-10,703.17,99.46,0.0
EMP01029,2025-02-28,233.15,179.45,0.0
EMP01030,2025-01-17,423.84,349.79,0.0
EMP01030,2025-01-31,152.77,323.21,0.0
EMP01031,2025-01-03,778.3,370.55,0.0
EMP01031,2025-01-10,799.5,334.41,0.0
EMP01031,2025-02-07,694.09,66.52,0.0
EMP01032,2025-01-24,215.25,0.86,0.0
EMP01032,2025-02-21,705.26,360.98,0.0
EMP01033,2025-01-31,299.67,278.64,0.0
EMP01033,2025-02-21,611.35,313.34,0.0
EMP01034,2025-01-10,623.58,22.87,0.0
EMP01034,2025-01-17,505.43,216.88,0.0
EMP01034,2025-02-21,307.7,387.48,0.0
EMP01035,2025-01-03,572.65,94.08,0.0
EMP01035,2025-01-17,230.08,238.01,0.0
EMP01035,2025-02-21,772.55,32.04,0.0
EMP01036,2025-01-24,505.24,15.9,0.0
EMP01037,2025-02-14,560.16,226.09,0.0
EMP01038,2025-01-24,285.93,52.35,0.0
EMP01038,2025-01-31,568.81,125.67,0.0
EMP01039,2025-01-17,494.1,39.99,0.0
EMP01039,2025-01-31,750.31,374.29,0.0
EMP01039,2025-02-21,106.52,248.46,0.0
EMP01040,2025-01-10,210.42,333.5,0.0
EMP01040,2025-01-24,753.28,352.35,0.0
EMP01040,2025-01-31,715.49,147.81,0.0
EMP01041,2025-01-03,564.37,375.57,0.0
EMP01041,2025-01-31,671.97,119.75,0.0
EMP01041,2025-02-07,194.0,46.17,0.0
EMP01042,2025-02-28,208.81,112.7,0.0
EMP01043,2025-02-07,242.52,253.7,0.0
EMP01044,2025-02-21,135.56,253.71,0.0
EMP01044,2025-02-28,275.78,363.26,0.0
EMP01045,2025-01-03,333.49,52.33,0.0
EMP01045,2025-02-28,785.86,64.63,0.0
EMP01046,2025-02-14,761.54,276.41,0.0
EMP01046,2025-02-28,492.63,44.75,0.0
EMP01047,2025-02-28,125.22,147.69,0.0
EMP01048,2025-01-10,577.45,266.77,70.74
EMP01048,2025-01-17,129.28,145.86,186.62
EMP01048,2025-02-14,780.54,15.96,71.56
EMP01049,2025-01-10,117.35,294.63,0.0
EMP01049,2025-01-17,667.54,352.57,0.0
EMP01049,2025-02-14,705.22,390.48,0.0
EMP01050,2025-01-24,175.67,348.87,0.0
EMP01050,2025-02-14,286.76,314.95,0.0
EMP01051,2025-01-24,671.61,184.12,0.0
EMP01051,2025-02-28,313.63,318.14,0.0
EMP01052,2025-01-24,116.57,77.25,0.0
EMP01053,2025-01-10,0.0,0.0,0.0
EMP01053,2025-01-31,295.39,256.59,0.0
EMP01054,2025-01-03,506.41,393.42,0.0
EMP01054,2025-02-07,713.93,104.49,0.0
EMP01054,2025-02-21,126.78,238.63,0.0
EMP01055,2025-02-07,524.35,204.57,0.0
EMP01055,2025-02-14,369.64,230.64,0.0
EMP01056,2025-01-03,101.18,370.23,0.0
EMP01056,2025-02-14,476.92,287.77,0.0
EMP01057,2025-01-24,148.98,265.7,0.0
EMP01057,2025-02-07,331.14,125.57,0.0
EMP01057,2025-02-28,693.61,287.9,0.0
EMP01058,2025-01-31,588.05,221.76,0.0
EMP01058,2025-02-28,566.83,130.47,0.0
EMP01059,2025-02-14,565.45,151.66,0.0
EMP01060,2025-01-17,483.56,0.16,0.0
EMP01060,2025-01-24,505.99,261.88,0.0
EMP01060,2025-01-31,300.84,171.96,0.0
EMP01061,2025-02-21,572.94,204.47,0.0
EMP01061,2025-02-28,655.61,383.93,0.0
EMP01062,2025-01-10,334.63,327.37,0.0
EMP01062,2025-01-17,460.82,253.18,0.0
EMP01062,2025-02-28,625.8,269.12,0.0
EMP01063,2025-01-24,203.15,18.49,0.0
EMP01064,2025-01-10,390.11,251.91,0.0
EMP01064,2025-02-21,236.1,278.54,0.0
EMP01065,2025-01-24,724.86,344.18,0.0
EMP01065,2025-02-14,203.3,275.05,0.0
EMP01066,2025-02-14,253.19,321.64,0.0
EMP01067,2025-01-03,425.25,212.45,0.0
EMP01067,2025-02-21,184.95,53.34,0.0
EMP01067,2025-02-28,490.18,366.99,0.0
EMP01068,2025-01-31,412.14,63.66,0.0
EMP01068,2025-02-07,670.5,356.81,0.0
EMP01068,2025-02-21,398.72,362.74,0.0
EMP01069,2025-01-31,294.12,311.07,0.0
EMP01069,2025-02-21,626.24,335.95,0.0
EMP01070,2025-01-24,407.91,285.42,0.0
EMP01070,2025-01-31,264.15,134.34,0.0
EMP01071,2025-01-10,261.88,277.58,0.0
EMP01071,2025-01-17,594.49,25.69,0.0
EMP01071,2025-02-28,385.32,217.04,0.0
EMP01072,2025-01-03,372.63,307.92,0.0
EMP01072,2025-01-24,113.67,352.26,0.0
EMP01073,2025-01-03,685.01,215.29,0.0
EMP01073,2025-02-14,759.92,119.45,0.0
EMP01073,2025-02-21,372.99,356.66,0.0
EMP01074,2025-01-24,120.32,134.45,0.0
EMP01074,2025-02-21,575.4,161.73,0.0
EMP01074,2025-02-28,253.6,174.33,0.0
EMP01075,2025-02-21,743.68,392.29,0.0
EMP01076,2025-01-03,495.07,10.84,0.0
EMP01076,2025-01-31,423.19,20.11,0.0
EMP01076,2025-02-14,549.92,54.28,0.0
EMP01077,2025-01-24,715.75,111.3,0.0
EMP01077,2025-02-07,418.29,135.0,0.0
EMP01078,2025-01-10,136.46,380.77,0.0
EMP01078,2025-01-31,429.21,299.61,0.0
EMP01079,2025-01-10,646.86,260.7,0.0
EMP01080,2025-01-24,239.55,8.15,0.0
EMP01081,2025-01-24,188.35,267.78,0.0
EMP01082,2025-01-24,279.37,147.56,0.0
EMP01082,2025-02-07,602.85,311.12,0.0
EMP01082,2025-02-21,524.12,385.49,0.0
EMP01083,2025-01-31,175.67,10.27,0.0
EMP01084,2025-02-14,759.03,79.33,0.0
EMP01084,2025-02-28,514.47,332.23,0.0
EMP01085,2025-01-10,588.04,120.63,0.0
EMP01086,2025-01-03,148.27,259.02,0.0
EMP01086,2025-01-10,472.92,264.61,0.0
EMP01086,2025-01-17,108.86,168.02,0.0
EMP01087,2025-01-10,772.55,254.23,0.0
EMP01087,2025-02-14,680.1,282.92,0.0
EMP01088,2025-01-17,531.14,367.85,0.0
EMP01088,2025-01-31,642.25,185.95,0.0
EMP01089,2025-01-31,271.85,373.85,0.0
EMP01089,2025-02-07,295.25,180.32,0.0
EMP01089,2025-02-14,625.33,227.94,0.0
EMP01090,2025-01-03,280.85,111.86,0.0
EMP01090,2025-02-07,441.28,141.93,0.0
EMP01090,2025-02-14,446.01,130.01,0.0
EMP01091,2025-01-03,604.05,195.43,0.0
EMP01091,2025-01-31,763.64,34.25,0.0
EMP01091,2025-02-28,630.72,276.24,0.0
EMP01092,2025-02-14,564.77,147.61,0.0
EMP01092,2025-02-21,112.07,117.69,0.0
EMP01092,2025-02-28,383.08,97.32,0.0
EMP01093,2025-01-24,314.64,92.22,0.0
EMP01093,2025-02-07,346.27,181.5,0.0
EMP01093,2025-02-28,797.64,220.16,0.0
EMP01094,2025-01-03,617.02,110.6,0.0
EMP01094,2025-01-24,620.02,380.35,0.0
EMP01094,2025-02-07,583.11,76.62,0.0
EMP01095,2025-01-03,595.61,50.63,0.0
EMP01095,2025-01-31,352.62,120.91,0.0
EMP01095,2025-02-28,682.84,118.5,0.0
EMP01096,2025-01-03,487.35,278.97,0.0
EMP01097,2025-02-21,171.81,4.91,0.0
EMP01098,2025-02-21,408.33,73.75,0.0
EMP01098,2025-02-28,135.96,376.43,0.0
EMP01099,2025-01-10,380.5,29.63,0.0
EMP01099,2025-02-28,540.61,21.44,0.0
EMP01100,2025-01-31,159.63,99.28,0.0
EMP01101,2025-01-24,409.9,344.07,0.0
EMP01101,2025-02-14,465.8,180.21,0.0
EMP01101,2025-02-28,793.02,122.15,0.0
EMP01102,2025-01-03,245.45,84.41,0.0
EMP01102,2025-01-10,562.3,62.82,0.0
EMP01102,2025-02-14,221.67,30.03,0.0
EMP01103,2025-02-14,415.35,237.52,0.0
EMP01104,2025-01-03,301.67,113.09,0.0
EMP01104,2025-01-24,701.72,28.47,0.0
EMP01105,2025-01-31,651.48,250.02,0.0
EMP01106,2025-01-03,149.99,66.37,0.0
EMP01106,2025-01-24,481.19,259.05,0.0
EMP01106,2025-02-14,735.89,330.65,0.0
EMP01107,2025-01-31,187.05,275.47,0.0
EMP01107,2025-02-21,589.81,377.07,0.0
EMP01108,2025-01-24,275.26,36.53,0.0
EMP01108,2025-02-21,402.42,128.93,0.0
EMP01108,2025-02-28,156.31,15.94,0.0
EMP01109,2025-01-03,128.16,302.51,0.0
EMP01109,2025-01-31,429.35,260.6,0.0
EMP01109,2025-02-21,741.25,72.6,0.0
EMP01110,2025-01-03,212.58,164.66,0.0
EMP01110,2025-02-14,429.01,163.34,0.0
EMP01110,2025-02-21,324.74,41.84,0.0
EMP01111,2025-01-31,669.5,220.04,0.0
EMP01111,2025-02-14,418.38,125.81,0.0
EMP01112,2025-01-10,705.44,329.97,0.0
EMP01112,2025-02-14,100.81,347.75,0.0
EMP01113,2025-01-03,629.51,250.16,0.0
EMP01113,2025-02-14,231.31,144.71,0.0
EMP01114,2025-01-24,286.94,52.41,57.61
EMP01115,2025-01-03,486.58,37.28,0.0
EMP01115,2025-01-10,0.0,0.0,0.0
EMP01115,2025-02-21,526.21,95.72,0.0
EMP01116,2025-02-21,762.94,259.08,0.0
EMP01117,2025-02-21,752.86,116.74,0.0
EMP01118,2025-01-31,437.75,188.89,0.0
EMP01118,2025-02-14,419.75,57.86,0.0
EMP01118,2025-02-21,233.43,239.75,0.0
EMP01119,2025-01-10,337.91,315.09,0.0
EMP01119,2025-01-17,640.87,341.76,0.0
EMP01119,2025-02-28,287.02,1.03,0.0
EMP01120,2025-01-31,204.02,215.43,0.0
EMP01120,2025-02-14,480.4,182.14,0.0
EMP01120,2025-02-21,341.59,220.77,0.0
EMP01121,2025-01-24,500.26,93.42,0.0
EMP01121,2025-02-28,642.88,17.46,0.0
EMP01122,2025-01-24,775.38,50.5,0.0
EMP01122,2025-02-14,556.41,60.84,0.0
EMP01122,2025-02-21,791.89,316.96,0.0
EMP01123,2025-01-10,110.74,57.66,174.19
EMP01123,2025-02-07,691.53,39.88,182.09
EMP01123,2025-02-14,778.97,29.93,156.31
EMP01124,2025-02-07,554.89,340.71,0.0
EMP01124,2025-02-14,696.64,343.74,0.0
EMP01125,2025-02-07,710.67,14.36,0.0
EMP01125,2025-02-21,147.89,252.46,0.0
EMP01126,2025-01-10,0.0,0.0,0.0
EMP01126,2025-01-24,0.0,0.0,0.0
EMP01127,2025-01-10,585.8,361.37,0.0
EMP01127,2025-02-21,132.19,318.46,0.0
EMP01127,2025-02-28,305.36,149.94,0.0
EMP01128,2025-01-24,471.82,226.37,0.0
EMP01129,2025-01-17,222.55,243.8,0.0
EMP01130,2025-01-24,738.98,57.25,0.0
EMP01130,2025-02-21,422.8,101.59,0.0
EMP01131,2025-01-03,730.85,271.04,0.0
EMP01131,2025-02-21,210.58,176.69,0.0
EMP01132,2025-01-31,583.22,182.73,0.0
EMP01132,2025-02-14,311.49,399.75,0.0
EMP01133,2025-01-10,366.96,143.58,0.0
EMP01133,2025-01-24,307.11,279.71,0.0
EMP01134,2025-02-14,292.14,226.37,0.0
EMP01135,2025-01-03,732.91,114.48,0.0
EMP01135,2025-02-14,346.62,254.65,0.0
EMP01135,2025-02-21,659.2,242.83,0.0
EMP01136,2025-01-17,127.6,315.44,0.0
EMP01136,2025-01-31,168.01,250.98,0.0
EMP01136,2025-02-07,123.36,145.94,0.0
EMP01137,2025-01-10,736.74,130.69,0.0
EMP01138,2025-01-17,192.51,215.76,0.0
EMP01138,2025-01-24,780.04,212.34,0.0
EMP01139,2025-01-17,739.83,377.68,0.0
EMP01139,2025-01-31,777.17,118.06,0.0
EMP01140,2025-01-10,774.03,56.3,0.0
EMP01140,2025-02-21,776.55,344.06,0.0
EMP01141,2025-01-03,570.64,233.82,0.0
EMP01141,2025-02-07,0.0,0.0,0.0
EMP01141,2025-02-14,109.74,214.63,0.0
EMP01142,2025-01-10,718.96,224.56,0.0
EMP01142,2025-02-07,263.68,10.01,0.0
EMP01142,2025-02-28,740.68,88.55,0.0
EMP01143,2025-02-21,736.57,120.88,0.0
EMP01144,2025-01-10,131.74,14.88,0.0
EMP01144,2025-01-17,797.15,46.45,0.0
EMP01145,2025-02-28,194.96,181.46,0.0
EMP01146,2025-01-31,442.54,163.25,0.0
EMP01146,2025-02-14,390.42,39.61,0.0
EMP01146,2025-02-28,619.59,61.81,0.0
EMP01147,2025-01-03,252.09,177.88,0.0
EMP01147,2025-02-07,265.28,145.07,0.0
EMP01148,2025-01-03,418.3,265.11,0.0
EMP01148,2025-02-07,378.7,75.92,0.0
EMP01148,2025-02-28,185.51,339.21,0.0
EMP01149,2025-01-03,333.46,395.53,0.0
EMP01149,2025-02-14,680.87,221.68,0.0
EMP01149,2025-02-28,650.88,82.08,0.0
EMP01150,2025-01-17,788.82,395.01,0.0
EMP01150,2025-01-24,642.06,315.46,0.0
EMP01150,2025-02-28,517.19,110.91,0.0
EMP01151,2025-01-03,266.55,129.51,0.0
EMP01151,2025-01-17,110.4,315.99,0.0
EMP01151,2025-01-31,562.74,10.31,0.0
EMP01152,2025-01-31,136.68,296.69,0.0
EMP01153,2025-01-10,413.79,144.82,0.0
EMP01153,2025-01-24,255.08,246.04,0.0
EMP01153,2025-02-28,515.57,180.8,0.0
EMP01154,2025-01-24,398.39,43.18,0.0
EMP01154,2025-01-31,799.01,338.92,0.0
EMP01154,2025-02-28,550.34,12.46,0.0
EMP01155,2025-01-03,509.76,284.86,0.0
EMP01155,2025-01-10,188.33,249.73,0.0
EMP01155,2025-02-21,325.48,59.33,0.0
EMP01156,2025-01-31,169.42,280.71,0.0
EMP01156,2025-02-28,417.6,242.17,0.0
EMP01157,2025-01-24,337.25,181.4,0.0
EMP01157,2025-02-21,391.19,38.03,0.0
EMP01157,2025-02-28,416.09,91.4,0.0
EMP01158,2025-01-31,746.09,26.85,0.0
EMP01158,2025-02-07,362.01,61.06,0.0
EMP01159,2025-01-10,402.31,297.84,0.0
EMP01160,2025-01-03,330.75,48.89,0.0
EMP01160,2025-01-17,510.53,224.63,0.0
EMP01161,2025-01-03,346.15,231.17,0.0
EMP01161,2025-02-14,777.88,240.16,0.0
EMP01162,2025-01-17,559.72,89.7,0.0
EMP01163,2025-02-07,691.76,147.02,0.0
EMP01164,2025-01-24,691.61,389.82,0.0
EMP01164,2025-02-14,672.9,245.43,0.0
EMP01165,2025-01-03,287.21,72.17,0.0
EMP01165,2025-01-31,591.89,123.59,0.0
EMP01165,2025-02-28,750.36,331.78,0.0
EMP01166,2025-01-03,560.14,27.83,0.0
EMP01166,2025-02-07,226.98,57.3,0.0
EMP01167,2025-01-03,471.34,150.48,0.0
EMP01167,2025-01-10,417.55,62.96,0.0
EMP01167,2025-02-07,318.15,129.75,0.0
EMP01168,2025-01-03,571.78,108.84,0.0
EMP01168,2025-01-10,210.19,247.14,0.0
EMP01168,2025-02-28,563.36,194.26,0.0
EMP01169,2025-01-31,341.62,44.36,0.0
EMP01169,2025-02-14,250.9,204.94,0.0
EMP01170,2025-01-03,761.73,306.94,0.0
EMP01170,2025-01-31,138.35,81.77,0.0
EMP01170,2025-02-21,254.36,393.78,0.0
EMP01171,2025-01-31,183.99,198.95,0.0
EMP01171,2025-02-07,401.46,51.67,0.0
EMP01172,2025-01-03,154.5,125.22,0.0
EMP01172,2025-01-24,377.95,296.82,0.0
EMP01172,2025-02-07,405.35,183.9,0.0
EMP01173,2025-02-14,302.66,162.01,0.0
EMP01173,2025-02-28,776.34,68.75,0.0
EMP01174,2025-01-03,155.05,348.21,0.0
EMP01174,2025-02-07,404.97,160.18,0.0
